Agent Type,Terrain Type,Movements,Examinations,Actions,Time Taken
Agent 6,Forest,273125,27714,300839,245
Agent 7,Forest,1233232,41233,1274465,245
Agent 8,Forest,112708,13357,126065,245
Agent 6,Forest,387471,35310,422781,264
Agent 7,Forest,10206,2470,12676,264
Agent 8,Forest,71547,11258,82805,264
Agent 6,Forest,46085,8220,54305,246
Agent 7,Forest,1538660,48652,1587312,246
Agent 8,Forest,149433,17315,166748,246
Agent 6,Forest,135490,17260,152750,250
Agent 7,Forest,1157487,39612,1197099,250
Agent 8,Forest,208408,18836,227244,250
Agent 6,Forest,36282,7584,43866,242
Agent 7,Forest,66772,10415,77187,242
Agent 8,Forest,16847,5038,21885,242
Agent 6,Forest,270359,26647,297006,267
Agent 7,Forest,1196906,42087,1238993,267
Agent 8,Forest,14473,4226,18699,267
Agent 6,Forest,172964,19080,192044,263
Agent 7,Forest,980636,34386,1015022,263
Agent 8,Forest,164767,17710,182477,263
Agent 6,Forest,266769,27738,294507,303
Agent 7,Forest,1027250,34705,1061955,303
Agent 8,Forest,186304,17804,204108,303
Agent 6,Forest,57961,9432,67393,256
Agent 7,Forest,719555,29621,749176,256
Agent 8,Forest,20536,5930,26466,256
Agent 6,Forest,28350,6487,34837,224
Agent 7,Forest,10542,2727,13269,224
Agent 8,Forest,75221,12382,87603,224
Agent 6,Forest,140164,17015,157179,243
Agent 7,Forest,213635,17690,231325,243
Agent 8,Forest,929599,39973,969572,243
Agent 6,Forest,183269,20034,203303,246
Agent 7,Forest,579098,26708,605806,246
Agent 8,Forest,829432,36772,866204,246
Agent 6,Forest,46448,8210,54658,236
Agent 7,Forest,1758730,52461,1811191,236
Agent 8,Forest,523204,28912,552116,236
Agent 6,Forest,284430,27660,312090,247
Agent 7,Forest,3720993,101763,3822756,247
Agent 8,Forest,93802,12419,106221,247
Agent 6,Forest,76672,10897,87569,228
Agent 7,Forest,238745,18820,257565,228
Agent 8,Forest,10006,2989,12995,228
Agent 6,Forest,194148,20789,214937,231
Agent 7,Forest,30546,6971,37517,231
Agent 8,Forest,250207,21081,271288,231
Agent 6,Forest,524006,44318,568324,251
Agent 7,Forest,17577,4091,21668,251
Agent 8,Forest,1317348,49099,1366447,251
Agent 6,Forest,35551,7432,42983,229
Agent 7,Forest,141934,14081,156015,229
Agent 8,Forest,194038,18189,212227,229
Agent 6,Forest,25198,5879,31077,194
Agent 7,Forest,194972,17197,212169,194
Agent 8,Forest,22142,6313,28455,194
Agent 6,Forest,54858,9172,64030,230
Agent 7,Forest,209690,17783,227473,230
Agent 8,Forest,840370,38052,878422,230
Agent 6,Forest,394978,35446,430424,247
Agent 7,Forest,102868,12427,115295,247
Agent 8,Forest,970544,41649,1012193,247
