Agent Type,Terrain Type,Movements,Examinations,Actions
Agent 6,Forest,23538,3040,26578
Agent 7,Forest,175948,10050,185998
Agent 8,Forest,190113,12123,202236
Agent 6,Forest,90441,9153,99594
Agent 7,Forest,13060,2429,15489
Agent 8,Forest,77945,7105,85050
Agent 6,Forest,26610,3282,29892
Agent 7,Forest,345727,16101,361828
Agent 8,Forest,261732,16212,277944
Agent 6,Forest,60744,6510,67254
Agent 7,Forest,14687,2542,17229
Agent 8,Forest,3232,943,4175
Agent 6,Forest,4508,1000,5508
Agent 7,Forest,66075,5454,71529
Agent 8,Forest,34566,4520,39086
Agent 6,Forest,84715,9253,93968
Agent 7,Forest,38072,4459,42531
Agent 8,Forest,49288,5324,54612
Agent 6,Forest,31789,4233,36022
Agent 7,Forest,33112,4060,37172
Agent 8,Forest,182218,11462,193680
Agent 6,Forest,37629,4806,42435
Agent 7,Forest,1951,407,2358
Agent 8,Forest,146784,10321,157105
Agent 6,Forest,10530,1980,12510
Agent 7,Forest,173049,9222,182271
Agent 8,Forest,1265,394,1659
Agent 6,Forest,36750,4425,41175
Agent 7,Forest,142704,7992,150696
Agent 8,Forest,132905,9560,142465
Agent 6,Forest,13586,2233,15819
Agent 7,Forest,92558,6506,99064
Agent 8,Forest,102610,8183,110793
Agent 6,Forest,13909,2270,16179
Agent 7,Forest,134502,7708,142210
Agent 8,Forest,67593,6507,74100
Agent 6,Forest,5205,1086,6291
Agent 7,Forest,1844,440,2284
Agent 8,Forest,17198,2915,20113
Agent 6,Forest,18258,2541,20799
Agent 7,Forest,41414,4475,45889
Agent 8,Forest,25994,4087,30081
Agent 6,Forest,73620,7551,81171
Agent 7,Forest,13787,2503,16290
Agent 8,Forest,69844,6131,75975
Agent 6,Forest,121817,11588,133405
Agent 7,Forest,41997,4390,46387
Agent 8,Forest,22128,3324,25452
Agent 6,Forest,10295,1928,12223
Agent 7,Forest,4125,922,5047
Agent 8,Forest,125368,8708,134076
Agent 6,Forest,23879,3007,26886
Agent 7,Forest,33007,4080,37087
Agent 8,Forest,271188,16201,287389
Agent 6,Forest,95624,9503,105127
Agent 7,Forest,16795,2677,19472
Agent 8,Forest,142813,10236,153049
Agent 6,Forest,94941,9902,104843
Agent 7,Forest,3857,792,4649
Agent 8,Forest,106503,7909,114412
Agent 6,Forest,1882,492,2374
Agent 7,Forest,22015,3044,25059
Agent 8,Forest,32167,4409,36576
Agent 6,Forest,2521,581,3102
Agent 7,Forest,7375,1603,8978
Agent 8,Forest,246931,14171,261102
Agent 6,Forest,4852,1079,5931
Agent 7,Forest,80515,5781,86296
Agent 8,Forest,106285,8004,114289
Agent 6,Forest,11011,1951,12962
Agent 7,Forest,36493,4238,40731
Agent 8,Forest,58156,5624,63780
Agent 6,Forest,15227,2411,17638
Agent 7,Forest,26061,3412,29473
Agent 8,Forest,13971,2830,16801
Agent 6,Forest,2110,403,2513
Agent 7,Forest,4543,944,5487
Agent 8,Forest,30242,4363,34605
Agent 6,Forest,123011,12104,135115
Agent 7,Forest,165488,9383,174871
Agent 8,Forest,247192,15504,262696
Agent 6,Forest,32614,4100,36714
Agent 7,Forest,382069,17333,399402
Agent 8,Forest,2563,740,3303
Agent 6,Forest,21144,2784,23928
Agent 7,Forest,40850,4317,45167
Agent 8,Forest,21753,3329,25082
Agent 6,Forest,117059,11777,128836
Agent 7,Forest,4006,933,4939
Agent 8,Forest,6505,1696,8201
Agent 6,Forest,51695,5468,57163
Agent 7,Forest,88247,6048,94295
Agent 8,Forest,11809,2485,14294
Agent 6,Forest,19712,2631,22343
Agent 7,Forest,13075,2298,15373
Agent 8,Forest,2516,759,3275
Agent 6,Forest,12954,2063,15017
Agent 7,Forest,20971,2845,23816
Agent 8,Forest,12756,2579,15335
Agent 6,Forest,48701,5231,53932
Agent 7,Forest,24315,3065,27380
Agent 8,Forest,11681,2531,14212
Agent 6,Forest,13607,2192,15799
Agent 7,Forest,17546,2718,20264
Agent 8,Forest,2281,725,3006
Agent 6,Forest,5555,1273,6828
Agent 7,Forest,123334,7647,130981
Agent 8,Forest,15329,2955,18284
Agent 6,Forest,77309,7920,85229
Agent 7,Forest,60909,5405,66314
Agent 8,Forest,11681,2524,14205
Agent 6,Forest,88622,9113,97735
Agent 7,Forest,85232,6159,91391
Agent 8,Forest,1434,463,1897
Agent 6,Forest,20564,2827,23391
Agent 7,Forest,8354,1703,10057
Agent 8,Forest,62216,5626,67842
Agent 6,Forest,3346,814,4160
Agent 7,Forest,144281,8211,152492
Agent 8,Forest,66395,6381,72776
Agent 6,Forest,5948,1212,7160
Agent 7,Forest,31162,3929,35091
Agent 8,Forest,6708,1716,8424
Agent 6,Forest,47518,5274,52792
Agent 7,Forest,278351,13223,291574
Agent 8,Forest,65484,6128,71612
Agent 6,Forest,2373,598,2971
Agent 7,Forest,38082,4148,42230
Agent 8,Forest,19564,3246,22810
Agent 6,Forest,72623,7817,80440
Agent 7,Forest,35737,4281,40018
Agent 8,Forest,12799,2651,15450
Agent 6,Forest,80644,8013,88657
Agent 7,Forest,163388,8889,172277
Agent 8,Forest,3220,938,4158
Agent 6,Forest,15372,2467,17839
Agent 7,Forest,5628,1295,6923
Agent 8,Forest,212795,13335,226130
Agent 6,Forest,25834,3213,29047
Agent 7,Forest,81814,5812,87626
Agent 8,Forest,10717,2402,13119
Agent 6,Forest,49211,5482,54693
Agent 7,Forest,15598,2686,18284
Agent 8,Forest,122811,9106,131917
Agent 6,Forest,35388,4364,39752
Agent 7,Forest,2041,526,2567
Agent 8,Forest,144747,10311,155058
Agent 6,Forest,20030,2675,22705
Agent 7,Forest,541701,24059,565760
Agent 8,Forest,6153,1628,7781
Agent 6,Hilly,28830,3561,32391
Agent 7,Hilly,5121,1123,6244
Agent 8,Hilly,19351,3609,22960
Agent 6,Hilly,1521,435,1956
Agent 7,Hilly,6132,1338,7470
Agent 8,Hilly,7708,1862,9570
Agent 6,Hilly,6227,1342,7569
Agent 7,Hilly,8559,1766,10325
Agent 8,Hilly,3147,934,4081
Agent 6,Hilly,4803,1065,5868
Agent 7,Hilly,25630,3568,29198
Agent 8,Hilly,7795,1942,9737
Agent 6,Hilly,82160,8084,90244
Agent 7,Hilly,3669,749,4418
Agent 8,Hilly,3478,1016,4494
Agent 6,Hilly,6882,1416,8298
Agent 7,Hilly,4573,948,5521
Agent 8,Hilly,5557,1454,7011
Agent 6,Hilly,2440,512,2952
Agent 7,Hilly,21056,2953,24009
Agent 8,Hilly,4704,1265,5969
Agent 6,Hilly,4176,787,4963
Agent 7,Hilly,4677,924,5601
Agent 8,Hilly,118983,9056,128039
Agent 6,Hilly,77179,8276,85455
Agent 7,Hilly,1615,410,2025
Agent 8,Hilly,3479,1008,4487
Agent 6,Hilly,6086,1282,7368
Agent 7,Hilly,10750,2017,12767
Agent 8,Hilly,7677,1876,9553
Agent 6,Hilly,8119,1594,9713
Agent 7,Hilly,4098,821,4919
Agent 8,Hilly,2934,842,3776
Agent 6,Hilly,26440,3323,29763
Agent 7,Hilly,9276,1819,11095
Agent 8,Hilly,3742,1022,4764
Agent 6,Hilly,3034,591,3625
Agent 7,Hilly,3302,677,3979
Agent 8,Hilly,20377,3601,23978
Agent 6,Hilly,50492,5482,55974
Agent 7,Hilly,6137,1310,7447
Agent 8,Hilly,1964,584,2548
Agent 6,Hilly,78463,7949,86412
Agent 7,Hilly,1514,379,1893
Agent 8,Hilly,46640,5170,51810
Agent 6,Hilly,8290,1587,9877
Agent 7,Hilly,7638,1498,9136
Agent 8,Hilly,8287,2007,10294
Agent 6,Hilly,7218,1459,8677
Agent 7,Hilly,4017,759,4776
Agent 8,Hilly,63328,5825,69153
Agent 6,Hilly,4041,866,4907
Agent 7,Hilly,164628,8728,173356
Agent 8,Hilly,65069,5846,70915
Agent 6,Hilly,27977,3646,31623
Agent 7,Hilly,14130,2404,16534
Agent 8,Hilly,11540,2464,14004
Agent 6,Hilly,26187,3307,29494
Agent 7,Hilly,5647,1167,6814
Agent 8,Hilly,5083,1299,6382
Agent 6,Hilly,4112,744,4856
Agent 7,Hilly,2555,637,3192
Agent 8,Hilly,5853,1517,7370
Agent 6,Hilly,48104,5251,53355
Agent 7,Hilly,79104,5495,84599
Agent 8,Hilly,24084,3606,27690
Agent 6,Hilly,28348,3209,31557
Agent 7,Hilly,4970,1014,5984
Agent 8,Hilly,2669,758,3427
Agent 6,Hilly,331202,24297,355499
Agent 7,Hilly,237051,11661,248712
Agent 8,Hilly,31201,4143,35344
Agent 6,Hilly,6431,1337,7768
Agent 7,Hilly,4088,883,4971
Agent 8,Hilly,2155,679,2834
Agent 6,Hilly,25707,3251,28958
Agent 7,Hilly,28200,3515,31715
Agent 8,Hilly,15913,2820,18733
Agent 6,Hilly,8433,1597,10030
Agent 7,Hilly,29659,3663,33322
Agent 8,Hilly,7260,1796,9056
Agent 6,Hilly,28280,3338,31618
Agent 7,Hilly,2050,481,2531
Agent 8,Hilly,3383,962,4345
Agent 6,Hilly,4306,865,5171
Agent 7,Hilly,131860,7561,139421
Agent 8,Hilly,7197,1814,9011
Agent 6,Hilly,4001,769,4770
Agent 7,Hilly,7409,1479,8888
Agent 8,Hilly,7989,1988,9977
Agent 6,Hilly,26741,3294,30035
Agent 7,Hilly,18985,2780,21765
Agent 8,Hilly,60745,5454,66199
Agent 6,Hilly,4805,955,5760
Agent 7,Hilly,5446,1131,6577
Agent 8,Hilly,4635,1326,5961
Agent 6,Hilly,49069,5295,54364
Agent 7,Hilly,2555,495,3050
Agent 8,Hilly,5391,1400,6791
Agent 6,Hilly,3541,665,4206
Agent 7,Hilly,9828,1943,11771
